E ; deltaE ; I ; deltaI ; I ENDF ; deltaI ENDF
120.5348 eV ; 4.883854 eV ; 90.71856 % ; 3.656208 % ; 0.9071856 ; 0.03656208
313.6872 eV ; 13.88149 eV ; 19.98249 % ; 0.8159616 % ; 0.1998249 ; 0.008159616
455.7866 eV ; 20.93725 eV ; 210.7853 % ; 10.34025 % ; 2.107853 ; 0.1034025
3103.847 eV ; 151.6156 eV ; 80.12111 % ; 3.42564 % ; 0.8012111 ; 0.03425640
3697.775 eV ; 128.3768 eV ; 23.1486 % ; 0.7170409 % ; 0.2314860 ; 0.007170409
4315.574 eV ; 173.1906 eV ; 1.673171 % ; 0.06042968 % ; 0.01673171 ; 0.0006042968
22688.58 eV ; 1663.445 eV ; 7.676092 % ; 0.5021613 % ; 0.07676092 ; 0.005021613
26517.11 eV ; 1140.065 eV ; 3.456902 % ; 0.1315667 % ; 0.03456902 ; 0.001315667
30347.55 eV ; 1323.534 eV ; 0.3736304 % ; 0.01441288 % ; 0.003736304 ; 0.0001441288
127156.2 eV ; 50.00090 eV ; 13.40297 % ; 2.680594 % ; 0.1340297 ; 0.02680594
142386.2 eV ; 300.0002 eV ; 1.3328E-4 % ; 5.205144E-5 % ; 0.000001332800 ; 5.205144E-7
150796.2 eV ; 60.00075 eV ; 0.00180761 % ; 3.95949E-4 % ; 0.00001807610 ; 0.000003959490
154030.8 eV ; 50.00090 eV ; 1.73264 % ; 0.346528 % ; 0.01732640 ; 0.003465280
157964.0 eV ; 50.00090 eV ; 0.345695 % ; 0.069139 % ; 0.003456950 ; 0.0006913900
158801.7 eV ; 50.00090 eV ; 0.0683893 % ; 0.01367786 % ; 0.0006838930 ; 0.0001367786
158964.6 eV ; 50.00000 eV ; 0.00740537 % ; 0.001481074 % ; 0.00007405370 ; 0.00001481074
160356.2 eV ; 70.00064 eV ; 0.002319572 % ; 4.300592E-4 % ; 0.00002319572 ; 0.000004300592
165406.2 eV ; 0.3000000 eV ; 3.59856E-5 % ; 1.907485E-5 % ; 3.598560E-7 ; 1.907485E-7
166416.2 eV ; 0.3000000 eV ; 4.138344E-4 % ; 1.036513E-4 % ; 0.000004138344 ; 0.000001036513
169260.8 eV ; 300.0002 eV ; 2.3324E-5 % ; 1.289343E-5 % ; 2.332400E-7 ; 1.289343E-7
173194.0 eV ; 300.0002 eV ; 4.998E-6 % ; 2.914409E-6 % ; 4.998000E-8 ; 2.914409E-8
174031.7 eV ; 300.0002 eV ; 9.163E-7 % ; 4.990552E-7 % ; 9.163000E-9 ; 4.990552E-9
174194.6 eV ; 300.0000 eV ; 9.163E-8 % ; 4.31979E-8 % ; 9.16300E-10 ; 4.31979E-10
174976.2 eV ; 0.3000000 eV ; 3.09876E-4 % ; 9.220445E-5 % ; 0.000003098760 ; 9.220445E-7
175986.2 eV ; 0.3000000 eV ; 9.96268E-5 % ; 3.469542E-5 % ; 9.962680E-7 ; 3.469542E-7
177670.8 eV ; 60.00075 eV ; 3.09876E-4 % ; 1.298797E-4 % ; 0.000003098760 ; 0.000001298797
181604.0 eV ; 60.00075 eV ; 6.19752E-5 % ; 2.725985E-5 % ; 6.197520E-7 ; 2.725985E-7
182441.7 eV ; 60.00075 eV ; 1.162035E-5 % ; 5.191494E-6 % ; 1.162035E-7 ; 5.191494E-8
182604.6 eV ; 60.00000 eV ; 1.162035E-6 % ; 3.909237E-7 % ; 1.162035E-8 ; 3.909237E-9
187230.8 eV ; 70.00064 eV ; 3.96508E-4 % ; 1.596698E-4 % ; 0.000003965080 ; 0.000001596698
191164.0 eV ; 70.00064 eV ; 7.93016E-5 % ; 3.193396E-5 % ; 7.930160E-7 ; 3.193396E-7
192001.7 eV ; 70.00064 eV ; 1.586032E-5 % ; 5.993107E-6 % ; 1.586032E-7 ; 5.993107E-8
192164.6 eV ; 70.00000 eV ; 1.50673E-6 % ; 4.809332E-7 % ; 1.506730E-8 ; 4.809332E-9
192280.8 eV ; 0.3000000 eV ; 5.9976E-6 % ; 3.799174E-6 % ; 5.997600E-8 ; 3.799174E-8
193290.8 eV ; 0.3000000 eV ; 8.09676E-5 % ; 2.028946E-5 % ; 8.096760E-7 ; 2.028946E-7
196214.0 eV ; 0.3000000 eV ; 1.23284E-6 % ; 7.730538E-7 % ; 1.232840E-8 ; 7.730538E-9
197051.7 eV ; 0.3000000 eV ; 2.3324E-7 % ; 1.536017E-7 % ; 2.332400E-9 ; 1.536017E-9
197214.6 eV ; 0.000000 eV ; 2.3324E-8 % ; 1.36006E-8 % ; 2.33240E-10 ; 1.36006E-10
197224.0 eV ; 0.3000000 eV ; 1.656004E-5 % ; 4.147337E-6 % ; 1.656004E-7 ; 4.147337E-8
198061.7 eV ; 0.3000000 eV ; 3.172064E-6 % ; 7.945328E-7 % ; 3.172064E-8 ; 7.945328E-9
198224.6 eV ; 0.000000 eV ; 2.972144E-7 % ; 7.44434E-8 % ; 2.972144E-9 ; 7.44434E-10
201850.8 eV ; 0.3000000 eV ; 4.998E-5 % ; 2.357674E-5 % ; 4.998000E-7 ; 2.357674E-7
202860.8 eV ; 0.3000000 eV ; 1.62435E-5 % ; 8.197701E-6 % ; 1.624350E-7 ; 8.197701E-8
205784.0 eV ; 0.3000000 eV ; 1.03292E-5 % ; 4.483796E-6 % ; 1.032920E-7 ; 4.483796E-8
206621.7 eV ; 0.3000000 eV ; 1.9992E-6 % ; 8.59942E-7 % ; 1.999200E-8 ; 8.599420E-9
206784.6 eV ; 0.000000 eV ; 1.9992E-7 % ; 7.55478E-8 % ; 1.999200E-9 ; 7.55478E-10
206794.0 eV ; 0.3000000 eV ; 3.35699E-6 % ; 1.576743E-6 % ; 3.356990E-8 ; 1.576743E-8
207631.7 eV ; 0.3000000 eV ; 6.38911E-7 % ; 2.925118E-7 % ; 6.389110E-9 ; 2.925118E-9
207794.6 eV ; 0.000000 eV ; 6.38911E-8 % ; 2.69345E-8 % ; 6.38911E-10 ; 2.69345E-10
216146.2 eV ; 50.00090 eV ; 0.00382347 % ; 4.461256E-4 % ; 0.00003823470 ; 0.000004461256
225696.2 eV ; 150.0003 eV ; 7.87185E-5 % ; 2.190239E-5 % ; 7.871850E-7 ; 2.190239E-7
243020.8 eV ; 50.00090 eV ; 5.876815E-4 % ; 1.501567E-4 % ; 0.000005876815 ; 0.000001501567
246546.2 eV ; 120.0004 eV ; 8.54658E-5 % ; 1.721012E-5 % ; 8.546580E-7 ; 1.721012E-7
246954.0 eV ; 50.00090 eV ; 1.203685E-4 % ; 3.566117E-5 % ; 0.000001203685 ; 3.566117E-7
247791.7 eV ; 50.00090 eV ; 2.26576E-5 % ; 6.423352E-6 % ; 2.265760E-7 ; 6.423352E-8
247954.6 eV ; 50.00000 eV ; 2.336565E-6 % ; 5.025741E-7 % ; 2.336565E-8 ; 5.025741E-9
249216.2 eV ; 50.00090 eV ; 0.002777639 % ; 9.714625E-5 % ; 0.00002777639 ; 9.714625E-7
252570.8 eV ; 150.0003 eV ; 1.352459E-5 % ; 3.762444E-6 % ; 1.352459E-7 ; 3.762444E-8
256504.0 eV ; 150.0003 eV ; 2.743902E-6 % ; 7.636348E-7 % ; 2.743902E-8 ; 7.636348E-9
257341.7 eV ; 150.0003 eV ; 5.292882E-7 % ; 1.472375E-7 % ; 5.292882E-9 ; 1.472375E-9
257504.6 eV ; 150.0000 eV ; 5.14294E-8 % ; 1.43077E-8 % ; 5.14294E-10 ; 1.43077E-10
273420.8 eV ; 120.0004 eV ; 1.281987E-5 % ; 3.595007E-6 % ; 1.281987E-7 ; 3.595007E-8
276090.8 eV ; 50.00090 eV ; 3.561075E-4 % ; 1.342052E-5 % ; 0.000003561075 ; 1.342052E-7
277354.0 eV ; 120.0004 eV ; 2.563974E-6 % ; 7.190013E-7 % ; 2.563974E-8 ; 7.190013E-9
278191.7 eV ; 120.0004 eV ; 4.94802E-7 % ; 1.450787E-7 % ; 4.948020E-9 ; 1.450787E-9
278354.6 eV ; 120.0000 eV ; 5.17293E-8 % ; 1.3144E-8 % ; 5.17293E-10 ; 1.31440E-10
280024.0 eV ; 50.00090 eV ; 7.09841E-5 % ; 2.67768E-6 % ; 7.098410E-7 ; 2.677680E-8
280861.7 eV ; 50.00090 eV ; 1.400689E-5 % ; 5.480612E-7 % ; 1.400689E-7 ; 5.480612E-9
281024.6 eV ; 50.00000 eV ; 1.519392E-6 % ; 5.79428E-8 % ; 1.519392E-8 ; 5.79428E-10
298886.2 eV ; 80.00056 eV ; 2.732573E-4 % ; 1.457882E-5 % ; 0.000002732573 ; 1.457882E-7
314536.2 eV ; 50.00090 eV ; 0.002565973 % ; 9.378148E-5 % ; 0.00002565973 ; 9.378148E-7
325760.8 eV ; 80.00056 eV ; 4.284119E-5 % ; 2.275881E-6 % ; 4.284119E-7 ; 2.275881E-8
329694.0 eV ; 80.00056 eV ; 8.660867E-6 % ; 4.562742E-7 % ; 8.660867E-8 ; 4.562742E-9
330531.7 eV ; 80.00056 eV ; 1.678911E-6 % ; 8.8345E-8 % ; 1.678911E-8 ; 8.83450E-10
330694.6 eV ; 80.00000 eV ; 1.675438E-7 % ; 8.81761E-9 % ; 1.675438E-9 ; 8.81761E-11
341410.8 eV ; 50.00090 eV ; 3.232623E-4 % ; 1.192897E-5 % ; 0.000003232623 ; 1.192897E-7
345344.0 eV ; 50.00090 eV ; 6.427511E-5 % ; 2.374353E-6 % ; 6.427511E-7 ; 2.374353E-8
346181.7 eV ; 50.00090 eV ; 1.272924E-5 % ; 4.658271E-7 % ; 1.272924E-7 ; 4.658271E-9
346344.6 eV ; 50.00000 eV ; 1.386129E-6 % ; 5.05567E-8 % ; 1.386129E-8 ; 5.05567E-10
408206.2 eV ; 50.00090 eV ; 0.004371534 % ; 1.595929E-4 % ; 0.00004371534 ; 0.000001595929
435080.8 eV ; 50.00090 eV ; 6.13128E-4 % ; 2.220849E-5 % ; 0.000006131280 ; 2.220849E-7
439014.0 eV ; 50.00090 eV ; 1.228825E-4 % ; 4.449621E-6 % ; 0.000001228825 ; 4.449621E-8
439851.7 eV ; 50.00090 eV ; 2.40627E-5 % ; 8.741007E-7 % ; 2.406270E-7 ; 8.741007E-9
440014.6 eV ; 50.00000 eV ; 2.496185E-6 % ; 9.18941E-8 % ; 2.496185E-8 ; 9.18941E-10
592756.2 eV ; 50.00090 eV ; 3.5819E-4 % ; 4.304824E-5 % ; 0.000003581900 ; 4.304824E-7
619630.8 eV ; 50.00090 eV ; 4.5815E-5 % ; 3.611057E-6 % ; 4.581500E-7 ; 3.611057E-8
623564.0 eV ; 50.00090 eV ; 9.0797E-6 % ; 7.212397E-7 % ; 9.079700E-8 ; 7.212397E-9
624401.8 eV ; 50.00090 eV ; 1.79928E-6 % ; 1.363848E-7 % ; 1.799280E-8 ; 1.363848E-9
624564.6 eV ; 50.00000 eV ; 1.93256E-7 % ; 1.84521E-8 % ; 1.932560E-9 ; 1.84521E-10
